CHAPTER,TITLE,NOTE,SUBHEADING NOTE,SUPPLEMENTARY NOTE,STATISTICAL NOTE,SECTION
62,"Articles of apparel and clothing accessories, not knitted or crocheted","1. This Chapter applies only to made up articles of any textile fabric other than wadding, excluding knitted or crocheted articles (other than those of heading 62.12).

2. This Chapter does not cover:

(a) Worn clothing or other worn articles of heading 63.09; or
(b) Orthopaedic appliances, surgical belts, trusses or the like (heading 90.21).

3. For the purposes of heading 62.03 and 62.04:

(a) The term ""suit"" means a set of garments composed of two or three pieces made up, in respect of their outer surface, in identical fabric and comprising:
one suit coat or jacket the outer shell of which, exclusive of sleeves, consists of four or more panels, designed to cover the upper part of the body, possibly with a tailored waistcoat in addition whose front is made from the same fabric as the outer surface of the other components of the set and whose back is made from the same fabric as the lining of the suit coat or jacket; and
one garment designed to cover the lower part of the body and consisting of trousers, breeches or shorts (other than swimwear), a skirt or a divided skirt, having neither braces nor bibs.
All of the components of a ""suit"" must be of the same fabric construction, colour and composition; they must also be of the same style and of corresponding or compatible size. However, these components may have piping (a strip of fabric sewn into the seam) in a different fabric.
If several separate components to cover the lower part of the body are presented together (for example, two pairs of trousers or trousers and shorts, or a skirt or divided skirt and trousers), the constituent lower part shall be one pair of trousers or, in the case of women's or girls' suits, the skirt or divided skirt, the other garments being considered separately.
The term ""suit"" includes the following sets of garments, whether or not they fulfil all the above conditions:
morning dress, comprising a plain jacket (cutaway) with rounded tails hanging well down at the back and striped trousers;
evening dress (tailcoat), generally made of black cloth, the jacket of which is relatively short at the front, does not close and has narrow skirts cut in at the hips and hanging down behind;
dinner jacket suits, in which the jacket is similar in style to an ordinary jacket (though perhaps revealing more of the shirt front), but has shiny silk or imitation silk lapels.
(b) The term ""ensemble"" means a set of garments (other than suits and articles of heading 62.07 or 62.08) composed of several pieces made up in identical fabric, put up for retail sale, and comprising:
one garment designed to cover the upper part of the body with the exception of waistcoats which may also form a second upper garment, and
one or two different garments, designed to cover the lower part of the body and consisting of trousers, bib and brace overalls, breeches, shorts (other than swimwear), a skirt or a divided skirt.
All of the components of an ensemble must be of the same fabric construction, style, colour and composition; they also must be of corresponding or compatible size. The term ""ensemble"" does not apply to track suits or ski suits, of heading 62.11.

4. For the purpose of heading 62.09:

(a) The expression ""babies' garments and clothing accessories"" means articles for young children of a body height not exceeding 86 cm
(b) Articles which are, prima facie, classifiable both in heading 62.09 and in other headings of this Chapter are to be classified in heading 62.09.

5. Garments which are, prima facie, classifiable both in heading 62.10 and in other headings of this Chapter, excluding heading 62.09, are to be classified in heading 62.10.

6. For the purpose of heading 62.11, ""ski suits"" means garments or sets of garments which, by their general appearance and texture, are identifiable as intended to be worn principally for skiing (cross-country or alpine). They consist either of:

(a) a ""ski overall"", that is, a one-piece garment designed to cover the upper and the lower parts of the body; in addition to sleeves and a collar the ski overall may have pockets or footstraps; or
(b) a ""ski ensemble"", that is, a set of garments composed of two or three pieces, put up for retail sale and comprising:
one garment such as an anorak, wind-cheater, wind-jacket or similar article, closed by a slide fastener (zipper), possibly with a waistcoat in addition, and
one pair of trousers whether or not extending above waist-level, one pair of breeches or one bib and brace overall.
The ""ski ensemble"" may also consist of an overall similar to the one mentioned in paragraph (a) above and a type of padded, sleeveless jacket worn over the overall.

All the components of a ""ski ensemble"" must be made up in a fabric of the same texture, style and composition whether or not of the same colour; they also must be of corresponding or compatible size.

7. Scarves and articles of the scarf type, square or approximately square, of which no side exceeds 60 cm, are to be classified as handkerchiefs (heading 62.13). Handkerchiefs of which any side exceeds 60 cm are to be classified in heading 62.14.

8. Garments of this Chapter designed for left over right closure at the front shall be regarded as men's or boys' garments, and those designed for right over left closure at the front as women's or girls' garments. These provisions do not apply where the cut of the garment clearly indicates that it is designed for one or other of the sexes.

Garments which cannot be identified as either men's or boys' garments or as women's or girls' garments are to be classified in the headings covering women's or girls' garments.

9. Articles of this Chapter may be made of metal thread.",,,,11
63,"Other made up textile articles; sets; worn clothing and worn textile articles; rags
1. Other made up textile articles
2. Sets
3. Worn clothing and worn textile articles; rags","1. Sub-Chapter I applies only to made up articles, of any textile fabric.

2. Sub-Chapter I does not cover:

(a) Goods of Chapters 56 to 62; or
(b) Worn clothing or other worn articles of heading 63.09.

3. Heading 63.09 applies only to the following goods:

(a) Articles of textile materials:
(i) Clothing and clothing accessories, and parts thereof;
(ii) Blankets and travelling rugs;
(iii) Bed linen, table linen, toilet linen and kitchen linen;
(iv) Furnishing articles, other than carpets of heading 57.01 to 57.05 and tapestries of heading 58.05;
(b) Footwear and headgear of any material other than asbestos.
In order to be classified in this heading, the articles mentioned above must comply with both of the following requirements:
(i) they must show signs of appreciable wear, and
(ii) they must be presented in bulk or in bales, sacks or similar packings.
","1. Subheading 6304.20 covers articles made from warp knit fabrics, impregnated or coated with alpha-cypermethrin (ISO), chlorfenapyr (ISO), deltamethrin (INN, ISO), lambda-cyhalothrin (ISO), permethrin (ISO) or pirimiphos-methyl (ISO).",,,11
64,"Footwear, gaiters and the like; parts of such articles","1. This Chapter does not cover:

(a) Disposable foot or shoe coverings of flimsy material (for example, paper, sheeting of plastics) without applied soles. These products are classified according to their constituent material;
(b) Footwear of textile material, without an outer sole glued, sewn or otherwise affixed or applied to the upper (Section XI);
(c) Worn footwear of heading 63.09;
(d) Articles of asbestos (heading 68.12);
(e) Orthopaedic footwear or other orthopaedic appliances, or parts thereof (heading 90.21); or
(f) Toy footwear or skating boots with ice or roller skates attached; shin-guards or similar protective sportswear (Chapter 95).

2. For the purposes of heading 64.06, the term ""parts"" does not include pegs, protectors, eyelets, hooks, buckles, ornaments, braid, laces, pompons or other trimmings (which are to be classified in their appropriate headings) or buttons or other goods of heading 96.06.

3. For the purposes of this Chapter:

(a) the terms ""rubber"" and ""plastics"" include woven fabrics or other textile products with an external layer of rubber or plastics being visible to the naked eye; for the purpose of this provision, no account should be taken of any resulting change of colour; and
(b) the term ""leather"" refers to the goods of headings 41.07 and 41.12 to 41.14.

4. Subject to Note 3 to this Chapter:

(a) The material of the upper shall be taken to be the constituent material having the greatest external surface area, no account being taken of accessories or reinforcements such as ankle patches, edging, ornamentation, buckles, tabs, eyelet stays or similar attachments;
(b) The constituent material of the outer sole shall be taken to be the material having the greatest surface area in contact with the ground, no account being taken of accessories or reinforcements such as spikes, bars, nails, protectors or similar attachments.

","1. For the purposes of subheadings 6402.12, 6402.19, 6403.12, 6403.19 and 6404.11, the expression ""sports footwear"" applies only to:

(a) Footwear which is designed for a sporting activity and has, or has provision for the attachment of, spikes, sprigs, stops, clips, bars or the like;
(b) skating boots, ski-boots and cross-country ski footwear, snowboard boots, wrestling boots, boxing boots and cycling shoes.

",,"(NB This note does not form part of the Customs Tariff legislation.)

1. For the statistical purposes of this Chapter, the term ""children's"" refers to footwear not exceeding Canadian children's size 12.",12
65,Headgear and parts thereof,"1. This Chapter does not cover:

(a) Worn headgear of heading 63.09;
(b) Asbestos headgear (heading 68.12); or
(c) Dolls' hats, other toy hats or carnival articles of Chapter 95.

2. Heading No. 65.02 does not cover hat-shapes made by sewing other than those obtained simply by sewing strips in spirals.",,,,12
66,"Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof	","1. This Chapter does not cover:

(a) Measure walking-sticks or the like (heading 90.17);
(b) Firearm-sticks, sword-sticks, loaded walking-sticks or the like (Chapter 93); or
(c) Goods of Chapter 95 (for example, toy umbrellas, toy sun umbrellas).

2. Heading 66.03 does not cover parts, trimmings or accessories of textile material, or covers, tassels, thongs, umbrella cases or the like, of any material. Such goods presented with, but not fitted to, articles of heading 66.01 or 66.02 are to be classified separately and are not to be treated as forming part of those articles.",,,,12
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,"1. This Chapter does not cover:

(a) Straining cloth of human hair (heading 59.11);
(b) Floral motifs or lace, of embroidery or other textile fabric (Section XI);
(c) Footwear (Chapter 64);
(d) Headgear or hair-nets (Chapter 65);
(e) Toys, sports requisites or carnival articles (Chapter 95); or
(f) Feather dusters, powder-puffs or hair sieves (Chapter 96).

2. Heading 67.01 does not cover:

(a) Articles in which feathers or down constitute only filling or padding (for example, bedding of heading 94.04);
(b) Articles of apparel or clothing accessories in which feathers or down constitute no more than mere trimming or padding; or
(c) Artificial flowers or foliage or parts thereof or made up articles of heading 67.02.

3. Heading 67.02 does not cover:

(a) Articles of glass (Chapter 70); or
(b) Artificial flowers, foliage or fruit of pottery, stone, metal, wood or other materials, obtained in one piece by moulding, forging, carving, stamping or other process, or consisting of parts assembled otherwise than by binding, glueing, fitting into one another or similar methods.",,,,12
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials","1. This Chapter does not cover:

(a) Goods of Chapter 25;
(b) Coated, impregnated or covered paper and paperboard of heading 48.10 or 48.11 (for example, paper and paperboard coated with mica powder or graphite, bituminized or asphalted paper and paperboard);
(c) Coated, impregnated or covered textile fabric of Chapter 56 or 59 (for example, fabric coated or covered with mica powder, bituminized or asphalted fabric);
(d) Articles of Chapter 71;
(e) Tools or parts of tools, of Chapter 82;
(f) Lithographic stones of heading 84.42;
(g) Electrical insulators (heading 85.46) or fittings of insulating material of heading 85.47;
(h) Dental burrs (heading 90.18);
(ij) Articles of Chapter 91 (for example, clocks and clock cases);
(k) Articles of Chapter 94 (for example, furniture, lamps and lighting fittings, prefabricated buildings);
(l) Articles of Chapter 95 (for example, toys, games and sports requisites);
(m) Articles of heading 96.02, if made of materials specified in Note 2 (b) to Chapter 96, or of heading 96.06 (for example, buttons), of heading 96.09 (for example, slate pencils), heading 96.10 (for example, drawing slates) or of heading 96.20 (monopods, bipods, tripods and similar articles); or
(n) Articles of Chapter 97 (for example, works of art).

2. In heading 68.02 the expression ""worked monumental or building stone"" applies not only to the varieties of stone referred to in heading 25.15 or 25.16 but also to all other natural stone (for example, quartzite, flint, dolomite and steatite) similarly worked; it does not, however, apply to slate.",,,,13
69,"Ceramic products
1. Goods of siliceous fossil meals or of similar siliceous earths, and refractory goods
2. Other ceramic products","1. This Chapter applies only to ceramic products which have been fired after shaping. Headings 69.04 to 69.14 apply only to such products other than those classifiable in headings 69.01 to 69.03.

2. This Chapter does not cover:

(a) Products of heading 28.44;
(b) Articles of heading 68.04;
(c) Articles of Chapter 71 (for example, imitation jewellery);
(d) Cermets of heading 81.13;
(e) Articles of Chapter 82;
(f) Electrical insulators (heading 85.46) or fittings of insulating material of heading 85.47;
(g) Artificial teeth (heading 90.21);
(h) Articles of Chapter 91 (for example, clocks and clock cases);
(ij) Articles of Chapter 94 (for example, furniture, lamps and lighting fittings, prefabricated buildings);
(k) Articles of Chapter 95 (for example, toys, games and sports requisities);
(l) Articles of heading 96.06 (for example, buttons) or of heading 96.14 (for example, smoking pipes); or
(m) Articles of Chapter 97 (for example, works of art).",,,,13
70,Glass and glassware,"1. This Chapter does not cover:

(a) Goods of heading 32.07 (for example, vitrifiable enamels and glazes, glass frit, other glass in the form of powder, granules or flakes);
(b) Articles of Chapter 71 (for example, imitation jewellery);
(c) Optical fibre cables of heading 85.44, electrical insulators (heading 85.46) or fittings of insulating material of heading 85.47;
(d) Optical fibres, optically worked optical elements, hypodermic syringes, artificial eyes, thermometers, barometers, hydrometers or other articles of Chapter 90;
(e) Lamps or lighting fittings, illuminated signs, illuminated name-plates or the like, having a permanently fixed light source, or parts thereof of heading 94.05;
(f) Toys, games, sports requisites, Christmas tree ornaments or other articles of Chapter 95 (excluding glass eyes without mechanisms for dolls or for other articles of Chapter 95); or
(g) Buttons, fitted vacuum flasks, scent or similar sprays or other articles of Chapter 96.

2. For the purpose of headings 70.03, 70.04 and 70.05:

(a) glass is not regarded as ""worked"" by reason of any process it has undergone before annealing;
(b) cutting to shape does not affect the classification of glass in sheets;
(c) the expression ""absorbent or reflecting or non-reflecting layer"" means a microscopically thin coating of metal or of a chemical compound (for example, metal oxide) which absorbs, for example, infra-red light or improves the reflecting qualities of the glass while still allowing it to retain a degree of transparency or translucency; or which prevents light from being reflected on the surface of the glass.

3. The products referred to in heading 70.06 remain classified in that heading whether or not they have the character of articles.

4. For the purpose of heading 70.19, the expression ""glass wool"" means:

(a) Mineral wools with a silica (SiO2) content not less than 60% by weight;
(b) Mineral wools with a silica (SiO2) content less than 60% but with an alkaline oxide (K2O or Na2O) content exceeding 5% by weight or a boric oxide (B2O3) content exceeding 2% by weight.
Mineral wools which do not comply with the above specifications fall in heading 68.06.

5. Throughout the Nomenclature, the expression ""glass"" includes fused quartz and other fused silica.

","1. For the purpose of subheadings 7013.22, 7013.33, 7013.41 and 7013.91, the expression ""lead crystal"" means only glass having a minimum lead monoxide (PbO) content by weight of 24%.",,,13
71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin
1. Natural or cultured pearls and precious or semi-precious stones
2. Precious metals and metals clad with precious metal
3. Jewellery, goldsmiths' and silversmiths' wares and other articles","1. Subject to Note 1 (a) to Section VI and except as provided below, all articles consisting wholly or partly:

(a) Of natural or cultured pearls or of precious or semi-precious stones (natural, synthetic or reconstructed), or
(b) Of precious metal or of metal clad with precious metal, are to be classified in this Chapter.

2. (A) Headings 71.13, 71.14 and 71.15 do not cover articles in which precious metal or metal clad with precious metal is present as minor constituents only, such as minor fittings or minor ornamentation (for example, monograms, ferrules and rims), and paragraph (b) of the foregoing Note does not apply to such articles.

(B) Heading 71.16 does not cover articles containing precious metal or metal clad with precious metal (other than as minor constituents).

3. This Chapter does not cover:

(a) Amalgams of precious metal, or colloidal precious metal (heading 28.43);
(b) Sterile surgical suture materials, dental fillings or other goods of Chapter 30;
(c) Goods of Chapter 32 (for example, lustres);
(d) Supported catalysts (heading 38.15);
(e) Articles of heading 42.02 or 42.03 referred to in Note 3 (B) to Chapter 42;
(f) Articles of heading 43.03 or 43.04;
(g) Goods of Section XI (textiles and textile articles);
(h) Footwear, headgear or other articles of Chapter 64 or 65;
(ij) Umbrellas, walking-sticks or other articles of Chapter 66;
(k) Abrasive goods of heading 68.04 or 68.05 or Chapter 82, containing dust or powder of precious or semi-precious stones (natural or synthetic); articles of Chapter 82 with a working part of precious or semi-precious stones (natural, synthetic or reconstructed); machinery, mechanical appliances or electrical goods, or parts thereof, of Section XVI. However, articles and parts thereof, wholly of precious or semi-precious stones (natural, synthetic or reconstructed) remain classified in this Chapter, except unmounted worked sapphires and diamonds for styli (heading 85.22);
(l) Articles of Chapter 90, 91 or 92 (scientific instruments, clocks and watches, musical instruments);
(m) Arms or parts thereof (Chapter 93);
(n) Articles covered by Note 2 to Chapter 95;
(o) Articles classified in Chapter 96 by virtue of Note 4 to that Chapter; or
(p) Original sculptures or statuary (heading 97.03), collectors' pieces (heading 97.05) or antiques of an age exceeding one hundred years (heading 97.06), other than natural or cultured pearls or precious or semi-precious stones.

4. (A) The expression ""precious metal"" means silver, gold and platinum.

(B) The expression ""platinum"" means platinum, iridium, osmium, palladium, rhodium and ruthenium.

(C) The expression ""precious or semi-precious stones"" does not include any of the substances specified in Note 2 (b) to Chapter 96.

5. For the purpose of this Chapter, any alloy (including a sintered mixture and an inter-metallic compound) containing precious metal is to be treated as an alloy of precious metal if any one precious metal constitutes as much as 2%, by weight, of the alloy. Alloys of precious metal are to be classified according to the following rules:

(a) An alloy containing 2% or more, by weight, of platinum is to be treated as an alloy of platinum;
(b) An alloy containing 2% or more, by weight, of gold but no platinum, or less than 2%, by weight, of platinum, is to be treated as an alloy of gold;
(c) Other alloys containing 2% or more, by weight, of silver are to be treated as alloys of silver.
6. Except where the context otherwise requires, any reference in the Nomenclature to precious metal or to any particular precious metal includes a reference to alloys treated as alloys of precious metal or of the particular metal in accordance with the rules in Note 5 above, but not to metal clad with precious metal or to base metal or non-metals plated with precious metal.

7. Throughout the Nomenclature the expression ""metal clad with precious metal"" means material made with a base of metal upon one or more surfaces of which there is affixed by soldering, brazing, welding, hot-rolling or similar mechanical means a covering of precious metal. Except where the context otherwise requires, the expression also covers base metal inlaid with precious metal.

8. Subject to Note 1 (a) to Section VI, goods answering to a description in heading 71.12 are to be classified in that heading and in no other heading of the Nomenclature.

9. For the purposes of heading 71.13, the expression ""articles of jewellery"" means:

(a) Any small objects of personal adornment (for example, rings, bracelets, necklaces, brooches, ear-rings, watch-chains, fobs, pendants, tie-pins, cuff-links, dress-studs, religious or other medals and insignia); and
(b) Articles of personal use of a kind normally carried in the pocket, in the handbag or on the person (for example, cigar or cigarette cases, snuff boxes, cachou or pill boxes, powder boxes, chain purses or prayer beads).
These articles may be combined or set, for example, with natural or cultured pearls, precious or semi-precious stones, synthetic or reconstructed precious or semi-precious stones, tortoise shell, mother-of-pearl, ivory, natural or reconstituted amber, jet or coral.

10. For the purpose of heading 71.14, the expression ""articles of goldsmiths' or silversmiths' wares"" includes such articles as ornaments, tableware, toilet-ware, smokers' requisites and other articles of household, office or religious use.

11. For the purpose of heading 71.17, the expression ""imitation jewellery"" means articles of jewellery within the meaning of paragraph (a) of Note 9 above (but not including buttons or other articles of heading 96.06, or dress-combs, hair-slides or the like, or hairpins, of heading 96.15), not incorporating natural or cultured pearls, precious or semi-precious stones (natural, synthetic or reconstructed) nor (except as plating or as minor constituents) precious metal or metal clad with precious metal.

","1. For the purpose of subheadings 7106.10, 7108.11, 7110.11, 7110.21, 7110.31 and 7110.41, the expressions ""powder"" and ""in powder form"" mean products of which 90% or more by weight passes through a sieve having a mesh aperture of 0.5 mm.

2. Notwithstanding the provisions of Chapter Note 4 (B), for the purpose of subheadings 7110.11 and 7110.19, the expression ""platinum"" does not include iridium, osmium, palladium, rhodium or ruthenium.

3. For the classification of alloys in the subheading of heading 71.10, each alloy is to be classified with that metal, platinum, palladium, rhodium, iridium, osmium or ruthenium which predominates by weight over each other of these metals.",,,14
72,"Iron and steel
1. Primary materials; products in granular or powder form
2. Iron and non-alloy steel
3. Stainless steel
4. Other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel","1. In this Chapter and, in the case of Notes (d), (e) and (f) throughout the Nomenclature, the following expressions have the meanings hereby assigned to them:

(a) Pig iron
Iron-carbon alloys not usefully malleable, containing more than 2% by weight of carbon and which may contain by weight one or more other elements within the following limits:

not more than 10% of chromium
not more than 6% of manganese
not more than 3% of phosphorus
not more than 8% of silicon
a total of not more than 10% of other elements.
(b) Spiegeleisen
Iron-carbon alloys containing by weight more than 6% but not more than 30% of manganese and otherwise conforming to the specification at (a) above.

(c) Ferro-alloys
Alloys in pigs, blocks, lumps or similar primary forms, in forms obtained by continuous casting and also in granular or powder forms, whether or not agglomerated, commonly used as an additive in the manufacture of other alloys or as de-oxidants, de-sulphurizing agents or for similar uses in ferrous metallurgy and generally not usefully malleable, containing by weight 4% or more of the element iron and one or more of the following:

more than 10% of chromium
more than 30% of manganese
more than 3% of phosphorus
more than 8% of silicon
a total of more than 10% of other elements, excluding carbon, subject to a maximum content of 10% in the case of copper.
(d) Steel
Ferrous materials other than those of heading 72.03 which (with the exception of certain types produced in the form of castings) are usefully malleable and which contain by weight 2% or less of carbon. However, chromium steels may contain higher proportions of carbon.

(e) Stainless steel
Alloy steels containing, by weight, 1.2% or less of carbon and 10.5% or more of chromium, with or without other elements.

(f) Other alloy steel
Steels not complying with the definition of stainless steel and containing by weight one or more of the following elements in the proportion shown:

0.3% or more of aluminum
0.0008% or more of boron
0.3% or more of chromium
0.3% or more of cobalt
0.4% or more of copper
0.4% or more of lead
1.65% or more of manganese
0.08% or more of molybdenum
0.3% or more of nickel
0.06% or more of niobium
0.6% or more of silicon
0.05% or more of titanium
0.3% or more of tungsten (wolfram)
0.1% or more of vanadium
0.05% or more of zirconium
0.1% or more of other elements (except sulphur, phosphorus, carbon and nitrogen), taken separately.
(g) Remelting scrap ingots of iron or steel
Products roughly cast in the form of ingots without feeder-heads or hot tops, or of pigs, having obvious surface faults and not complying with the chemical composition of pig iron, spiegeleisen or ferro-alloys.

(h) Granules
Products of which less than 90% by weight passes through a sieve with a mesh aperture of 1 mm and of which 90% or more by weight passes through a sieve with a mesh aperture of 5 mm.

(ij) Semi-finished products
Continuous cast products of solid section, whether or not subjected to primary hot-rolling; and

Other products of solid section, which have not been further worked than subjected to primary hot-rolling or roughly shaped by forging, including blanks for angles, shapes or sections.

These products are not presented in coils.

(k) Flat-rolled products
Rolled products of solid rectangular (other than square) cross-section, which do not conform to the definition at (ij) above in the form of:

coils of successively superimposed layers, or
straight lengths, which if of a thickness less than 4.75 mm are of a width measuring at least ten times the thickness or if of a thickness of 4.75 mm or more are of a width which exceeds 150 mm and measures at least twice the thickness.
Flat-rolled products include those with patterns in relief derived directly from rolling (for example, grooves, ribs, chequers, tears, buttons, lozenges) and those which have been perforated, corrugated or polished, provided that they do not thereby assume the character of articles or products of other headings.

Flat-rolled products of a shape other than rectangular or square, of any size, are to be classified as products of a width of 600 mm or more, provided that they do not assume the character of articles or products of other headings.

(l) Bars and rods, hot-rolled, in irregularly wound coils
Hot-rolled products in irregularly wound coils, which have a solid cross-section in the shape of circles, segments of circles, ovals, rectangles (including squares), triangles or other convex polygons (including ""flattened circles"" and ""modified rectangles"", of which two opposite sides are convex arcs, the other two sides being straight, of equal length and parallel). These products may have indentations, ribs, grooves or other deformations produced during the rolling process (reinforcing bars and rods).

(m) Other bars and rods
Products which do not conform to any of the definitions at (ij), (k) or (l) above or to the definition of wire, which have a uniform solid cross-section along their whole length in the shape of circles, segments of circles, ovals, rectangles (including squares), triangles or other convex polygons (including ""flattened circles"" and ""modified rectangles"", of which two opposite sides are convex arcs, the other two sides being straight, of equal length and parallel). These products may:

have indentations, ribs, grooves or other deformations produced during the rolling process (reinforcing bars and rods);
be twisted after rolling.
(n) Angles, shapes and sections
Products having a uniform solid cross-section along their whole length which do not conform to any of the definitions at (ij), (k), (l) or (m) above or to the definition of wire.

Chapter 72 does not include products of heading 73.01 or 73.02.

(o) Wire
Cold-formed products in coils, of any uniform solid cross-section along their whole length, which do not conform to the definition of flat-rolled products.

(p) Hollow drill bars and rods
Hollow bars and rods of any cross-section, suitable for drills, of which the greatest external dimension of the cross-section exceeds 15 mm but does not exceed 52 mm, and of which the greatest internal dimension does not exceed one half of the greatest external dimension. Hollow bars and rods of iron or steel not conforming to this definition are to be classified in heading 73.04.

2. Ferrous metals clad with another ferrous metal are to be classified as products of the ferrous metal predominating by weight.

3. Iron or steel products obtained by electrolytic deposition, by pressure casting or by sintering are to be classified, according to their form, their composition and their appearance, in the headings of this Chapter appropriate to similar hot-rolled products.



","1. In this Chapter the following expressions have the meanings hereby assigned to them:

(a) Alloy pig iron
Pig iron containing, by weight, one or more of the following elements in the specified proportions:

more than 0.2% of chromium
more than 0.3% of copper
more than 0.3% of nickel
more than 0.1% of any of the following elements: aluminum, molybdenum, titanium, tungsten (wolfram), vanadium.
(b) Non-alloy free-cutting steel
Non-alloy steel containing, by weight, one or more of the following elements in the specified proportions:

0.08% or more of sulphur
0.1% or more of lead
more than 0.05% of selenium
more than 0.01% of tellurium
more than 0.05% of bismuth.
(c) Silicon-electrical steel
Alloy steels containing by weight at least 0.6% but not more than 6% of silicon and not more than 0.08% of carbon. They may also contain by weight not more than 1% of aluminum but no other element in a proportion that would give the steel the characteristics of another alloy steel.

(d) High speed steel
Alloy steels containing, with or without other elements, at least two of the three elements molybdenum, tungsten and vanadium with a combined content by weight of 7% or more, 0.6% or more of carbon and 3 to 6% of chromium.

(e) Silico-manganese steel
Alloy steels containing by weight:

not more than 0.7% of carbon,
0.5% or more but not more than 1.9% of manganese, and
0.6% or more but not more than 2.3% of silicon, but no other element in a proportion that would give the steel the characteristics of another alloy steel.
2. For the classification of ferro-alloys in the subheadings of heading 72.02 the following rule should be observed:

A ferro-alloy is considered as binary and classified under the relevant subheading (if it exists) if only one of the alloy elements exceeds the minimum percentage laid down in Chapter Note 1 (c); by analogy, it is considered respectively as ternary or quaternary if two or three alloy elements exceed the minimum percentage.

For the application of this rule the unspecified ""other elements"" referred to in Chapter Note 1 (c) must each exceed 10% by weight.",,"(NB This note does not form part of the Customs Tariff legislation.)

1. For the statistical purposes of subheadings 7222.11, 7222.19, 7222.20 and 7222.30, the expression ""high nickel alloy steel"" is considered to be nickel alloy steel containing by weight 3% or more of nickel.",15
73,Articles of iron or steel,"1. In this Chapter the expression ""cast iron"" applies to products obtained by casting in which iron predominates by weight over each of the other elements and which do not comply with the chemical composition of steel as defined in Note 1 (d) to Chapter 72.

2. In this Chapter the word ""wire"" means hot or cold-formed products of any cross-sectional shape, of which no cross-sectional dimension exceeds 16 mm.",,,,15
